,PRICE_NEW,BRANDNAME,KM_INT,FUEL,BODY,GEARBOX,DRIVE,COLOR,AGE,ENGINERANGE
290,13800000,Toyota,75000.0,Diesel,SUV,Manual,4WD,White,9,2901-above(cc)
291,4600000,Toyota,350000.0,Diesel,Van,Manual,2WD,White,8,0-1000(cc)
292,1965000,Toyota,33000.0,Petrol,Hatchback,Manual,2WD,White,9,1001-1500(cc)
296,8500000,Toyota,95000.0,Diesel,SUV,Manual,4WD,Brown,8,2901-above(cc)
297,2425000,Toyota,52000.0,Diesel,Hatchback,Manual,2WD,Other Colors,8,1001-1500(cc)
298,8500000,Toyota,42000.0,Petrol,SUV,Automatic,4WD,Gray,8,2001-2500(cc)
299,8200000,Toyota,46000.0,Petrol,SUV,Manual,4WD,Gray,8,2001-2500(cc)
305,2400000,Toyota,68000.0,Petrol,SUV,Manual,2WD,Silver,8,1001-1500(cc)
306,1975000,Toyota,52000.0,Petrol,Sedan,Manual,2WD,Silver,7,1001-1500(cc)
315,14100000,Toyota,71000.0,Diesel,SUV,Manual,4WD,White,8,2501-2900(cc)
317,9000000,Toyota,50000.0,Diesel,SUV,Manual,4WD,White,8,2901-above(cc)
318,6900000,Toyota,41500.0,Petrol,SUV,Manual,4WD,White,8,2001-2500(cc)
321,8500000,Toyota,65000.0,Diesel,Pickup,Manual,4WD,Other Colors,7,2501-2900(cc)
322,6500000,Toyota,72000.0,Petrol,Pickup,Manual,4WD,Gray,7,2501-2900(cc)
329,14500000,Toyota,63000.0,Diesel,SUV,Manual,4WD,Silver,7,2901-above(cc)
330,14400000,Toyota,63000.0,Diesel,SUV,Manual,4WD,Silver,7,2901-above(cc)
331,28000000,Toyota,65000.0,Diesel,SUV,Automatic,4WD,Silver,6,2901-above(cc)
333,8650000,Toyota,42000.0,Petrol,SUV,Automatic,4WD,Silver,7,2001-2500(cc)
334,1450000,Toyota,80000.0,Petrol,SUV,Automatic,4WD,White,7,2001-2500(cc)
335,1700000,Toyota,80000.0,Petrol,SUV,Automatic,4WD,White,7,2001-2500(cc)
343,7500000,Toyota,43000.0,Diesel,Pickup,Manual,4WD,White,7,2501-2900(cc)
345,5850000,Toyota,116000.0,Petrol,SUV,Automatic,4WD,White,7,2501-2900(cc)
348,7000000,Toyota,55000.0,Diesel,Pickup,Automatic,4WD,Brown,6,2501-2900(cc)
349,7700000,Toyota,45000.0,Petrol,SUV,Manual,4WD,Other Colors,6,2001-2500(cc)
350,1500000,Toyota,80000.0,Petrol,SUV,Automatic,4WD,Other Colors,6,1001-1500(cc)
352,7050000,Toyota,81000.0,Diesel,Pickup,Manual,4WD,Silver,6,2501-2900(cc)
354,7100000,Toyota,76000.0,Diesel,Pickup,Manual,4WD,Silver,6,2501-2900(cc)
355,7100000,Toyota,76000.0,Diesel,Pickup,Manual,4WD,Silver,6,2501-2900(cc)
356,2175000,Toyota,80000.0,Petrol,SUV,Automatic,4WD,White,6,1001-1500(cc)
369,1900000,Toyota,32000.0,Petrol,Hatchback,Automatic,2WD,Gray,5,1001-1500(cc)
374,5200000,Toyota,52100.0,Petrol,SUV,Automatic,2WD,Other Colors,5,1001-1500(cc)
376,8500000,Toyota,41000.0,Diesel,Pickup,Manual,4WD,Silver,5,2501-2900(cc)
377,6500000,Toyota,42000.0,Petrol,SUV,Manual,2WD,Silver,5,1001-1500(cc)
378,9000000,Toyota,69000.0,Petrol,SUV,Automatic,4WD,Silver,5,2901-above(cc)
381,7500000,Toyota,64000.0,Diesel,Pickup,Manual,4WD,White,5,2501-2900(cc)
382,8500000,Toyota,49000.0,Diesel,Pickup,Manual,4WD,White,5,2501-2900(cc)
383,18500000,Toyota,49998.0,Diesel,SUV,Automatic,4WD,White,4,2501-2900(cc)
385,23000000,Toyota,26400.0,Diesel,SUV,Automatic,4WD,Gray,4,2901-above(cc)
387,10000000,Toyota,38000.0,Diesel,SUV,Automatic,4WD,Silver,4,2501-2900(cc)
388,8500000,Toyota,70000.0,Diesel,Pickup,Manual,4WD,Silver,4,2501-2900(cc)
393,25000000,Toyota,49000.0,Diesel,SUV,Automatic,4WD,White,4,2901-above(cc)
394,7300000,Toyota,17500.0,Petrol,SUV,Automatic,2WD,White,4,1001-1500(cc)
395,8000000,Toyota,27000.0,Petrol,SUV,Manual,2WD,White,3,1501-2000(cc)
397,42500000,Toyota,18000.0,Diesel,SUV,Automatic,4WD,Maroon,3,2901-above(cc)
399,18200000,Toyota,18000.0,Petrol,SUV,Manual,2WD,Silver,2,2501-2900(cc)
403,21850000,Toyota,46000.0,Diesel,SUV,Automatic,4WD,White,3,2501-2900(cc)
406,10500000,Toyota,12000.0,Diesel,Pickup,Manual,4WD,Gray,2,2501-2900(cc)
407,18500000,Toyota,19000.0,Diesel,SUV,Manual,4WD,Gray,2,2501-2900(cc)
408,12500000,Toyota,9000.0,Petrol,SUV,Automatic,4WD,Red,1,1501-2000(cc)
409,9500000,Toyota,4000.0,Diesel,Pickup,Manual,4WD,White,1,2501-2900(cc)
411,300000,Tata,90000.0,Diesel,Hatchback,Manual,2WD,Blue,23,1001-1500(cc)
413,350000,Tata,85000.0,Diesel,Hatchback,Manual,2WD,Silver,19,1001-1500(cc)
414,450000,Tata,68000.0,Diesel,Hatchback,Manual,2WD,Silver,18,1001-1500(cc)
